a52dec 0.8.0-2
kservice 6.6.0-1
kservice5 5.116.0-1
kshisen 24.08.1-1
ksirk 24.08.1-1
ksmtp 24.08.1-1
ksnakeduel 24.08.1-1
kspaceduel 24.08.1-1
ksquares 24.08.1-1
ksshaskpass 6.1.5-1
kstatusnotifieritem 6.6.0-1
ksudoku 24.08.1-1
ksvg 6.6.0-1
ksystemlog 24.08.1-1
ksystemstats 6.1.5-1
kteatime 24.08.1-1
ktextaddons 1.5.4-1
ktexteditor 6.6.0-1
ktexteditor5 5.116.0-1
ktexttemplate 6.6.0-1
ktextwidgets 6.6.0-1
ktextwidgets5 5.116.0-1
ktimer 24.08.1-1
ktnef 24.08.1-1
ktorrent 24.08.1-1
ktouch 24.08.1-1
ktrip 24.08.1-1
ktuberling 24.08.1-1
kturtle 24.08.1-1
kubrick 24.08.1-1
kunitconversion 6.6.0-1
kunitconversion5 5.116.0-1
kuserfeedback 6.6.0-1
kwallet 6.6.0-1
kwallet-pam 6.1.5-1
kwallet5 5.116.0-1
kwalletmanager 24.08.0-2
kwave 24.08.1-1
kwayland 6.1.5-1
kweather 24.08.1-1
kweathercore 24.08.1-1
kwidgetsaddons 6.6.0-1
kwidgetsaddons5 5.116.0-1
kwin 6.1.5-1
kwindowsystem 6.6.0-1
kwindowsystem5 5.116.0-1
kwordquiz 24.08.1-1
kwrited 6.1.5-1
kxmlgui 6.6.0-1
kxmlgui5 5.116.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.0-5
layer-shell-qt 6.1.5-1
lcms2 2.16-1
ldb 2:4.21.0-2
leptonica 1.84.1-2
less 1:661-1
libaccounts-glib 1.27-2
libaccounts-qt 1.17-1
libaec 1.1.3-1
libakonadi 24.08.1-1
libappindicator-gtk2 12.10.0.r298-4
libarchive 3.7.5-1
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libavc1394 0.5.4-6
libavif 1.1.1-2
libavtp 0.2.0-3
libb2 0.98.1-3
libblockdev 3.1.1-2
libblockdev-crypto 3.1.1-2
libblockdev-fs 3.1.1-2
libblockdev-loop 3.1.1-2
libblockdev-mdraid 3.1.1-2
libblockdev-nvme 3.1.1-2
libblockdev-part 3.1.1-2
libblockdev-swap 3.1.1-2
libbluray 1.3.4-2
libbpf 1.4.3-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libburn 1.5.6-1
libbytesize 2.8-3
libcaca 0.99.beta20-4
libcamera 0.3.1-2
libcamera-ipa 0.3.1-2
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.70-1
libcap-ng 0.8.5-2
libcbor 0.11.0-1
libcdio 2.1.0-4
libcdio-paranoia 10.2+2.0.2-1
libcloudproviders 0.3.6-1
libcolord 1.4.7-2
libcups 2:2.4.10-1
libdaemon 0.14-6
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk2 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdbusmenu-qt5 0.9.3+16.04.20160218-7
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.15-2
libdecor 0.2.2-1
libdeflate 1.21-1
libdispatch 5.10-1
libdisplay-info 0.2.0-1
libdmtx 0.7.7-2
libdovi 3.3.1-1
libdrm 2.4.123-1
libdv 1.0.0-11
libdvbpsi 1:1.3.3-3
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libebml 1.4.5-1
libebur128 1.2.6-2
libedit 20240517_3.1-1
libei 1.3.0-1
libelf 0.191-4
libepoxy 1.5.10-3
libevdev 1.13.3-1
libevent 2.1.12-4
libexif 0.6.24-3
libfabric 1.22.0-1
libfakekey 0.3-3
libfdk-aac 2.0.3-1
libffi 3.4.6-1
libfontenc 1.1.8-1
libfprint 1.94.8-1
libfreeaptx 0.1.1-2
libftdi 1.5-6
libgcrypt 1.11.0-2
